Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
ZYDUSLIFE.NS,160.13,101.7,"atrBuySignal,rsiBuySignal",atrSellSignal,17.0,19.0,36.0,36.0,47.22,0.64
FOODSIN.NS,90.95,101.65,"atrBuySignal,rsiBuySignal",atrSellSignal,5.0,3.0,8.0,8.0,62.5,1.12
HGINFRA.NS,282.84,101.52,atrBuySignal,atrSellSignal,16.0,18.0,34.0,34.0,47.06,0.36
ORIENTHOT.NS,518.89,101.23,stochasticBuySignal,atrSellSignal,5.0,7.0,12.0,12.0,41.67,0.2
BERGEPAINT.NS,186.2,101.08,"atrBuySignal,rsiBuySignal",atrSellSignal,18.0,15.0,33.0,33.0,54.55,0.54
PRAENG.NS,153.69,101.02,"atrBuySignal,stochasticBuySignal",atrSellSignal,3.0,3.0,7.0,7.0,42.86,0.66
WELSPUNLIV.NS,118.67,100.71,"atrBuySignal,stochasticBuySignal,rsiBuySignal",atrSellSignal,1.0,1.0,2.0,2.0,50.0,0.85
PAGEIND.NS,153.91,100.46,"atrBuySignal,rsiBuySignal",atrSellSignal,15.0,20.0,35.0,35.0,42.86,0.65
NIITLTD.NS,30.99,100.46,stochasticBuySignal,atrSellSignal,2.0,7.0,9.0,9.0,22.22,3.24
HINDALCO.NS,287.0,100.24,atrBuySignal,atrSellSignal,23.0,23.0,46.0,46.0,50.0,0.35
AAREYDRUGS.NS,8.65,100.23,rsiBuySignal,atrSellSignal,4.0,5.0,9.0,9.0,44.44,11.59
HYBRIDFIN.NS,-29.37,100.17,atrBuySignal,atrSellSignal,5.0,2.0,7.0,7.0,71.43,-3.41
NAHARPOLY.NS,248.48,99.69,"atrBuySignal,rsiBuySignal",atrSellSignal,10.0,18.0,28.0,28.0,35.71,0.4
XCHANGING.NS,121.51,99.6,"atrBuySignal,rsiBuySignal",atrSellSignal,7.0,19.0,26.0,26.0,26.92,0.82
AHLADA.NS,-22.08,99.51,"atrBuySignal,rsiBuySignal",atrSellSignal,7.0,17.0,24.0,24.0,29.17,-4.51
RITES.NS,274.07,98.88,atrBuySignal,atrSellSignal,15.0,19.0,34.0,34.0,44.12,0.36
MCL.NS,218.86,98.85,"atrBuySignal,rsiBuySignal",atrSellSignal,14.0,27.0,41.0,41.0,34.15,0.45
ALPHAGEO.NS,-57.24,98.82,stochasticBuySignal,atrSellSignal,3.0,5.0,8.0,8.0,37.5,-1.73
MUFIN.NS,-12.86,98.76,atrBuySignal,atrSellSignal,1.0,0.0,1.0,1.0,100.0,-7.68
BVCL.NS,146.64,98.22,atrBuySignal,atrSellSignal,16.0,16.0,32.0,32.0,50.0,0.67
CINELINE.NS,52.71,98.21,atrBuySignal,atrSellSignal,14.0,24.0,38.0,38.0,36.84,1.86
MEDANTA.NS,238.94,97.52,atrBuySignal,atrSellSignal,5.0,1.0,6.0,6.0,83.33,0.41
DYCL.NS,228.04,96.63,"atrBuySignal,rsiBuySignal",atrSellSignal,3.0,4.0,7.0,7.0,42.86,0.42
UNIINFO.NS,-36.95,96.5,"atrBuySignal,stochasticBuySignal",atrSellSignal,7.0,13.0,20.0,20.0,35.0,-2.61
BDL.NS,370.31,96.16,atrBuySignal,atrSellSignal,12.0,22.0,34.0,34.0,35.29,0.26
GINNIFILA.NS,67.73,95.65,"atrBuySignal,rsiBuySignal",atrSellSignal,11.0,22.0,33.0,33.0,33.33,1.41
NIPPOBATRY.NS,22.86,95.42,stochasticBuySignal,atrSellSignal,5.0,6.0,11.0,11.0,45.45,4.17
KHANDSE.NS,63.61,94.77,"atrBuySignal,rsiBuySignal",atrSellSignal,9.0,25.0,34.0,34.0,26.47,1.49
HDFCAMC.NS,104.22,94.61,atrBuySignal,atrSellSignal,17.0,19.0,36.0,36.0,47.22,0.91
ULTRACEMCO.NS,177.75,94.52,atrBuySignal,atrSellSignal,25.0,21.0,46.0,46.0,54.35,0.53
GATECH.NS,4.17,94.49,atrBuySignal,atrSellSignal,1.0,2.0,3.0,3.0,33.33,22.66
RUCHIRA.NS,26.52,94.15,atrBuySignal,atrSellSignal,15.0,23.0,38.0,38.0,39.47,3.55
SAGCEM.NS,68.41,94.11,atrBuySignal,atrSellSignal,14.0,18.0,32.0,32.0,43.75,1.38
JUBLINGREA.NS,100.17,93.97,atrBuySignal,atrSellSignal,7.0,9.0,16.0,16.0,43.75,0.94
AXITA.NS,65.43,93.95,atrBuySignal,atrSellSignal,6.0,5.0,11.0,11.0,54.55,1.44
