Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
EICHERMOT.NS,96.78,60.65,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,11.0,21.0,21.0,47.62,0.63
AARTIIND.NS,72.67,60.58,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,11.0,11.0,22.0,22.0,50.0,0.83
KRBL.NS,2.38,60.54,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,11.0,12.0,23.0,23.0,47.83,25.44
METROPOLIS.NS,21.26,60.36,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,13.0,10.0,23.0,23.0,56.52,2.84
BIRLACORPN.NS,148.02,59.49,closeAboveATRBuySignal,atrSellSignal,14.0,15.0,29.0,29.0,48.28,0.4
MFSL.NS,88.42,58.26,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,12.0,8.0,20.0,20.0,60.0,0.66
MSUMI.NS,58.53,57.7,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,3.0,2.0,5.0,5.0,60.0,0.99
CANFINHOME.NS,90.92,57.49,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,8.0,13.0,21.0,21.0,38.1,0.63
EIDPARRY.NS,190.04,57.38,closeAboveATRBuySignal,atrSellSignal,10.0,16.0,26.0,26.0,38.46,0.3
INDUSINDBK.NS,-0.15,56.48,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,12.0,17.0,29.0,29.0,41.38,-376.53
ABBOTINDIA.NS,98.84,55.96,closeAboveATRBuySignal,atrSellSignal,12.0,12.0,24.0,24.0,50.0,0.57
TECHM.NS,56.63,54.92,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,13.0,14.0,27.0,27.0,48.15,0.97
CREDITACC.NS,88.02,54.58,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,7.0,14.0,21.0,21.0,33.33,0.62
EASEMYTRIP.NS,236.2,54.44,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,6.0,13.0,19.0,19.0,31.58,0.23
LEMONTREE.NS,112.95,53.31,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,11.0,17.0,28.0,28.0,39.29,0.47
AAVAS.NS,-21.37,53.21,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,8.0,7.0,15.0,15.0,53.33,-2.49
HAVELLS.NS,131.21,52.88,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,13.0,23.0,23.0,43.48,0.4
KIMS.NS,95.21,52.54,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,6.0,6.0,12.0,12.0,50.0,0.55
METROBRAND.NS,116.65,52.17,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,5.0,6.0,11.0,11.0,45.45,0.45
MANAPPURAM.NS,6.15,51.96,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,10.0,11.0,21.0,21.0,47.62,8.45
TCS.NS,76.52,51.45,closeAboveATRBuySignal,atrSellSignal,13.0,14.0,27.0,27.0,48.15,0.67
GLS.NS,7.23,51.25,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,4.0,5.0,9.0,9.0,44.44,7.09
DIVISLAB.NS,101.87,51.23,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,7.0,11.0,18.0,18.0,38.89,0.5
COLPAL.NS,81.35,51.05,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,2.0,0.0,2.0,2.0,100.0,0.63
